nSmart,nBasic,Rounds,Winner
2,1,190,Smart
4,1,359,Smart
1,2,217,Smart
2,4,144,Basic
0,3,7756,Basic
3,3,211,Smart
5,0,336,Smart
2,2,800,Basic
4,2,398,Basic
2,2,389,Basic
4,1,400,Basic
0,2,45,Basic
0,2,148,Basic
4,2,253,Smart
2,3,169,Smart
3,3,367,Smart
1,3,220,Smart
2,4,278,Smart
2,0,175,Smart
4,2,59,Smart
1,4,255,Smart
2,3,189,Smart
2,3,214,Smart
1,4,286,Smart
4,1,813,Smart
1,1,295,Basic
4,1,1015,Smart
2,3,79,Basic
2,1,87,Basic
1,1,114,Basic
2,3,2482,Smart
1,1,87,Basic
1,3,1232,Basic
4,0,322,Smart
0,5,54388,Basic
4,2,252,Smart
1,5,7393,Basic
1,4,1019,Basic
1,3,610,Smart
2,2,222,Smart
2,3,162,Smart
5,1,234,Smart
3,3,451,Smart
2,3,187,Smart
0,4,286,Basic
3,2,270,Smart
4,2,198,Smart
2,0,864,Smart
0,2,106,Basic
4,2,123,Smart
1,1,240,Smart
1,1,430,Basic
4,1,881,Smart
1,4,636,Basic
2,1,159,Basic
3,2,52,Smart
3,3,106,Smart
3,3,337,Smart
3,2,152,Smart
1,2,252,Smart
2,3,161,Smart
3,3,422,Smart
1,2,424,Basic
2,1,194,Smart
1,2,291,Smart
1,5,2977,Basic
3,2,356,Basic
2,1,238,Basic
1,3,60,Smart
2,0,90,Smart
1,5,850,Smart
4,1,251,Smart
2,0,285,Smart
2,1,103,Smart
2,4,2109,Basic
1,1,121,Basic
4,2,126,Smart
1,1,73,Basic
4,0,179,Smart
3,2,244,Smart
5,1,172,Smart
2,1,1108,Smart
2,1,183,Basic
2,3,130,Smart
1,1,69,Basic
2,4,123,Smart
4,2,149,Smart
1,5,587,Smart
0,5,29019,Basic
2,3,2095,Smart
4,1,241,Smart
4,2,581,Smart
2,4,244,Smart
2,1,232,Basic
2,0,2086,Smart
3,1,133,Smart
3,3,296,Smart
1,5,126,Smart
2,1,175,Smart
3,3,149,Smart
4,2,329,Smart
1,1,85,Basic
0,2,48,Basic
2,3,315,Smart
4,1,347,Smart
1,1,69,Basic
3,2,220,Smart
4,2,194,Smart
2,0,220,Smart
1,2,171,Basic
1,1,51,Basic
2,1,183,Smart
1,2,412,Basic
0,2,70,Basic
2,0,1399,Smart
0,2,171,Basic
2,3,267,Smart
3,0,517,Smart
3,3,128,Smart
1,3,374,Smart
1,2,604,Basic
0,4,2402,Basic
1,2,179,Basic
1,1,114,Basic
3,3,208,Smart
2,2,266,Smart
4,2,451,Basic
3,3,172,Smart
2,3,380,Smart
2,2,167,Smart
1,1,69,Basic
3,2,166,Smart
4,2,381,Smart
1,4,3670,Basic
1,2,218,Smart
0,4,86464,Basic
5,1,242,Smart
0,3,26185,Basic
3,1,275,Smart
2,1,169,Smart
0,6,637,Basic
3,2,130,Smart
5,1,207,Smart
2,4,1839,Smart
1,1,54,Basic
1,1,69,Basic
2,3,767,Smart
2,4,10544,Basic
0,2,70,Basic
3,3,339,Basic
5,0,368,Smart
2,1,277,Smart
2,3,365,Smart
2,4,414,Basic
3,3,1477,Basic
2,2,151,Smart
3,1,704,Basic
3,0,108,Smart
2,1,77,Basic
2,1,78,Smart
1,1,360,Basic
2,3,238,Smart
0,2,195,Basic
1,2,290,Smart
1,1,45,Basic
2,1,289,Basic
1,1,81,Basic
2,0,352,Smart
3,3,182,Smart
1,1,118,Basic
1,1,102,Basic
2,1,733,Smart
2,2,437,Smart
2,1,132,Basic
3,1,157,Smart
3,3,208,Smart
3,0,229,Smart
3,2,184,Smart
3,0,1022,Smart
0,2,232,Basic
3,1,221,Basic
4,2,229,Smart
4,0,1008,Smart
2,0,1207,Smart
2,1,310,Smart
3,1,283,Smart
1,1,136,Basic
2,0,1143,Smart
1,2,177,Smart
1,5,138,Basic
2,2,721,Basic
3,1,488,Smart
3,0,152,Smart
1,4,251,Smart
3,1,219,Basic
2,3,419,Smart
3,3,393,Smart
2,4,210,Smart
2,4,240,Basic
3,1,163,Smart
4,1,543,Basic
3,3,549,Smart
1,2,115,Basic
3,1,1110,Smart
1,1,726,Smart
1,1,111,Basic
3,1,181,Basic
1,3,229,Smart
2,4,165,Smart
1,1,93,Basic
1,3,1105,Basic
1,3,150,Smart
1,3,228,Smart
1,2,218,Smart
1,1,82,Basic
2,2,209,Smart
0,2,268,Basic
2,4,44,Smart
2,0,355,Smart
2,2,229,Basic
3,3,397,Basic
3,2,221,Smart
1,2,417,Basic
1,3,160,Smart
2,4,326,Basic
2,3,1207,Smart
5,1,246,Smart
2,2,322,Smart
3,1,903,Smart
1,1,261,Basic
2,3,116,Smart
0,2,507,Basic
4,1,240,Smart
3,2,909,Smart
3,3,325,Smart
0,2,102,Basic
1,5,10468,Basic
3,2,355,Smart
3,2,185,Smart
4,1,304,Smart
0,3,95,Basic
2,2,522,Basic
2,2,522,Smart
5,1,295,Smart
1,1,69,Basic
3,1,371,Smart
4,2,670,Smart
2,4,568,Smart
1,1,81,Basic
2,3,154,Smart
1,2,234,Basic
2,4,693,Basic
5,0,303,Smart
4,2,1181,Smart
2,1,156,Smart
2,1,665,Smart
1,3,715,Smart
2,0,189,Smart
1,3,469,Smart
0,2,55,Basic
2,3,199,Smart
1,2,124,Smart
2,3,128,Smart
0,2,78,Basic
4,0,172,Smart
3,3,241,Basic
4,0,217,Smart
2,0,207,Smart
3,3,405,Smart
1,5,3393,Basic
2,3,161,Smart
2,0,433,Smart
1,3,2016,Smart
2,3,132,Smart
4,1,261,Smart
4,2,262,Smart
3,3,691,Basic
1,2,183,Smart
4,2,151,Smart
2,3,268,Smart
4,1,1010,Smart
1,1,112,Basic
2,0,3168,Smart
3,1,518,Smart
3,0,346,Smart
1,2,275,Basic
2,2,117,Smart
0,2,70,Basic
4,1,817,Smart
4,0,179,Smart
1,2,148,Smart
3,2,145,Smart
5,1,317,Smart
1,2,185,Smart
3,3,83,Smart
0,2,522,Basic
0,3,2795,Basic
1,1,105,Smart
1,1,273,Smart
1,2,164,Smart
3,2,339,Basic
2,2,167,Smart
2,3,28738,Basic
1,5,443,Basic
2,3,692,Basic
2,0,364,Smart
2,1,561,Basic
2,1,103,Smart
1,2,63,Basic
1,1,219,Smart
2,3,350,Basic
1,1,105,Basic
4,0,525,Smart
2,2,132,Basic
3,1,282,Basic
3,1,246,Smart
1,3,486,Basic
2,3,155,Smart
1,4,378,Basic
0,3,108,Basic
1,1,235,Basic
1,3,217,Smart
1,1,69,Basic
1,4,2069,Basic
4,1,154,Smart
1,3,93,Smart
4,2,431,Smart
0,3,53886,Basic
0,3,354,Basic
1,1,70,Basic
1,2,1118,Basic
1,3,182,Smart
3,1,273,Basic
4,2,140,Smart
2,4,89,Smart
2,1,414,Smart
4,2,331,Smart
2,1,176,Smart
3,1,291,Basic
3,1,174,Smart
1,5,285,Smart
0,2,213,Basic
3,0,144,Smart
1,1,70,Basic
3,1,285,Smart
1,3,774,Smart
0,4,6509,Basic
2,1,206,Smart
0,2,130,Basic
0,2,249,Basic
3,3,1244,Smart
3,3,178,Smart
3,2,125,Smart
2,2,437,Basic
0,2,403,Basic
1,3,243,Smart
3,1,355,Basic
0,2,240,Basic
2,4,803,Basic
2,2,541,Smart
1,3,369,Basic
1,3,338,Smart
2,2,325,Basic
3,3,433,Smart
2,2,407,Smart
3,1,118,Smart
3,1,241,Basic
2,1,183,Basic
2,2,367,Basic
0,2,144,Basic
3,0,229,Smart
0,2,156,Basic
1,3,161,Smart
4,2,251,Smart
1,1,343,Smart
1,1,246,Smart
3,2,239,Smart
2,0,192,Smart
2,2,121,Smart
1,2,241,Smart
3,1,390,Basic
2,2,292,Smart
3,1,305,Smart
1,4,1902,Basic
1,1,162,Basic
2,2,151,Smart
0,3,12736,Basic
2,3,135,Smart
1,4,1652,Basic
2,3,241,Smart
4,0,166,Smart
2,4,95,Smart
2,4,3457,Basic
2,2,576,Basic
3,2,214,Smart
0,3,430,Basic
3,1,285,Basic
2,1,685,Smart
1,5,886,Smart
0,2,214,Basic
2,3,342,Smart
3,0,286,Smart
5,1,361,Smart
0,3,17397,Basic
3,3,139,Smart
0,5,208243,Basic
1,4,149,Smart
3,3,99,Smart
0,3,357,Basic
1,2,255,Smart
0,3,86704,Basic
2,1,253,Basic
3,1,146,Smart
2,4,133,Smart
4,2,208,Smart
3,1,203,Smart
1,1,97,Basic
2,1,125,Basic
3,3,268,Smart
1,5,266,Smart
3,3,108,Smart
2,3,678,Smart
0,4,21520,Basic
1,2,550,Smart
1,1,123,Basic
1,3,510,Smart
0,2,174,Basic
2,4,81,Smart
3,2,126,Smart
1,1,279,Basic
3,3,146,Smart
1,1,817,Smart
0,4,14940,Basic
4,2,288,Smart
3,2,153,Smart
1,2,322,Smart
0,3,21523,Basic
2,2,359,Basic
2,1,463,Basic
2,4,286,Smart
4,2,468,Basic
4,0,814,Smart
1,1,81,Basic
3,2,147,Smart
1,3,464,Basic
2,4,318,Basic
1,4,483,Basic
2,2,60995,Basic
2,3,274,Smart
2,4,492,Smart
1,2,276,Smart
3,2,130,Smart
3,0,152,Smart
1,1,124,Basic
2,2,263,Smart
3,3,852,Smart
1,1,147,Basic
2,3,103,Smart
2,2,144,Smart
2,3,225,Smart
2,1,310,Smart
0,2,1569,Basic
0,4,25128,Basic
2,2,222,Smart
3,2,84,Smart
3,1,228,Smart
0,4,1234,Basic
3,1,88,Smart
4,2,753,Smart
2,1,173,Basic
1,2,125,Basic
1,3,161,Smart
1,3,13530,Basic
2,2,175,Smart
2,3,425,Basic
2,4,242,Smart
4,2,465,Smart
1,1,396,Smart
2,3,446,Basic
5,1,261,Smart
0,2,162,Basic
2,1,123,Smart
3,1,346,Smart
