Player1,Player2,Player3,Player4,Player5,Player6,Rounds,Winner
Basic,Smart,Basic,Smart,,,1306,Smart
Basic,Basic,,,,,67,Basic
Smart,Smart,Smart,Smart,Smart,,3309,Smart
Smart,Basic,Basic,Basic,,,70,Basic
Smart,Basic,Smart,Basic,Basic,,1735,Smart
Basic,Smart,Basic,Smart,Smart,Basic,20412,Smart
Basic,Basic,Smart,Basic,,,4243,Basic
Basic,Basic,Smart,Basic,Smart,,328,Smart
Basic,Basic,Smart,Basic,,,454,Basic
Basic,Smart,Basic,,,,577,Smart
Smart,Smart,Basic,,,,97990,Smart
Smart,Smart,Smart,Smart,Basic,,880,Smart
Smart,Smart,Smart,Smart,Basic,,1284,Smart
Basic,Smart,Smart,Smart,Smart,Basic,327,Smart
Basic,Basic,,,,,244,Basic
Basic,Basic,Basic,Smart,Smart,Basic,459,Basic
Smart,Basic,Basic,,,,319,Basic
Smart,Basic,Basic,Smart,,,160,Smart
Basic,Basic,Basic,Basic,Basic,,6555,Basic
Basic,Smart,Basic,Basic,Basic,,1378,Smart
Smart,Basic,Basic,Smart,Smart,,1015,Smart
Smart,Smart,Smart,Basic,Smart,,311,Smart
Basic,Basic,Basic,Basic,Basic,,36223,Basic
Smart,Smart,,,,,144,Smart
Smart,Basic,,,,,78,Smart
Smart,Basic,Smart,,,,319,Smart
Smart,Basic,,,,,150,Smart
Smart,Smart,Basic,Smart,Basic,,810,Smart
Smart,Smart,Smart,Smart,Smart,,2955,Smart
Basic,Basic,Smart,Smart,,,785,Smart
Basic,Smart,Basic,Smart,Smart,Smart,240,Basic
Basic,Basic,Basic,Smart,Basic,,295,Smart
Smart,Smart,Smart,Smart,Smart,Smart,1957,Smart
Smart,Smart,Basic,Basic,Smart,,700,Basic
Smart,Basic,Smart,Basic,,,15599,Basic
Basic,Smart,Smart,Smart,Basic,Basic,1556,Smart
Basic,Smart,,,,,96,Smart
Basic,Smart,Smart,Basic,Smart,Smart,700,Smart
Smart,Basic,Basic,Basic,Basic,,1004,Basic
Basic,Basic,Smart,Basic,,,11290,Basic
Basic,Smart,Basic,Basic,Basic,Basic,1449,Smart
Basic,Smart,Smart,Basic,,,189,Smart
Basic,Smart,Smart,Basic,Basic,Basic,46,Smart
Basic,Basic,Smart,Smart,,,290,Smart
Smart,Smart,Basic,Basic,Basic,Smart,728,Smart
Smart,Smart,Smart,Smart,Smart,,10420,Smart
Smart,Smart,Basic,Smart,Basic,Smart,575,Smart
Smart,Basic,Basic,,,,117279,Basic
Smart,Basic,Basic,Smart,Basic,Smart,328,Smart
Basic,Smart,Smart,Basic,,,323,Basic
Smart,Smart,Smart,,,,1312,Smart
Basic,Smart,,,,,82,Smart
Smart,Smart,Smart,,,,350,Smart
Smart,Basic,Smart,Basic,Basic,,24974,Basic
Smart,Basic,Smart,Smart,,,251,Smart
Smart,Basic,,,,,1111,Smart
Basic,Basic,Basic,,,,79,Basic
Basic,Smart,Basic,Basic,,,49839,Basic
Basic,Smart,Smart,,,,226,Smart
Basic,Basic,Basic,Basic,Basic,Smart,199,Smart
Smart,Basic,Smart,Smart,Smart,,7495,Smart
Basic,Basic,Basic,Basic,Basic,,3178,Basic
Basic,Basic,,,,,82,Basic
Basic,Smart,Basic,Smart,Smart,Basic,301,Basic
Smart,Basic,Basic,Basic,Basic,Smart,744,Smart
Smart,Basic,Smart,Basic,Smart,,1440,Smart
Basic,Basic,Smart,Smart,Smart,Basic,2235,Smart
Smart,Basic,Basic,Basic,Basic,,289,Basic
Basic,Smart,,,,,102,Basic
Basic,Smart,Smart,Smart,Smart,,2818,Smart
Smart,Smart,Smart,Basic,Basic,Basic,606,Basic
Smart,Basic,,,,,76,Smart
Basic,Basic,Basic,,,,202,Basic
Basic,Smart,Basic,,,,4581,Smart
Smart,Smart,Smart,Basic,,,482,Smart
Basic,Smart,,,,,60,Smart
Smart,Smart,Smart,Smart,Smart,Basic,802,Smart
Basic,Basic,Basic,,,,102,Basic
Basic,Smart,Basic,Basic,Basic,,5311,Basic
Basic,Basic,Basic,,,,16666,Basic
Smart,Basic,Smart,Smart,Basic,,936,Smart
Smart,Smart,Basic,,,,610,Smart
Basic,Basic,Basic,Smart,Smart,Basic,945,Basic
Basic,Smart,Smart,,,,579,Smart
Basic,Smart,Smart,Smart,,,230,Smart
Smart,Basic,Smart,,,,1594,Smart
Smart,Smart,Basic,,,,801,Smart
Smart,Smart,Smart,Basic,Basic,,1367,Basic
Smart,Smart,Smart,Basic,,,256,Smart
Smart,Smart,Basic,Basic,Basic,Smart,174,Smart
Basic,Basic,Basic,Basic,Basic,Basic,4452,Basic
Basic,Smart,Basic,Basic,Basic,,4038,Basic
Smart,Smart,Smart,Basic,Smart,Basic,712,Smart
Smart,Basic,,,,,96,Smart
Basic,Smart,,,,,138,Basic
Basic,Basic,Basic,Basic,,,14899,Basic
Basic,Smart,Basic,Smart,Smart,Basic,354,Basic
Smart,Basic,Basic,Smart,Smart,,346,Smart
Basic,Basic,Basic,Basic,Smart,,1729,Basic
Smart,Smart,Basic,Smart,,,760,Smart
Smart,Smart,Basic,Smart,Smart,Smart,2046,Smart
Smart,Basic,Smart,Smart,Basic,Basic,667,Smart
Basic,Basic,Smart,Basic,Smart,,543,Smart
Smart,Basic,,,,,313,Smart
Basic,Smart,,,,,102,Smart
Smart,Smart,Basic,Basic,Smart,Smart,1959,Smart
Smart,Smart,Smart,,,,346,Smart
Smart,Smart,Smart,Smart,,,2759,Smart
Basic,Basic,Basic,Basic,Smart,,2539,Smart
Basic,Smart,Basic,Smart,Smart,Smart,670,Smart
Smart,Smart,,,,,3771,Smart
Basic,Basic,Basic,Smart,,,466,Smart
Smart,Smart,Smart,Basic,Basic,Basic,786,Smart
Smart,Basic,Basic,Basic,Basic,,9585,Basic
Basic,Smart,Smart,Smart,Smart,,520,Smart
Basic,Smart,Smart,,,,723,Smart
Basic,Smart,Smart,Smart,Basic,,485,Smart
Smart,Basic,,,,,634,Basic
Smart,Basic,,,,,307,Smart
Basic,Smart,Basic,Basic,Smart,,502,Basic
Smart,Basic,Basic,,,,1287,Smart
Smart,Smart,Basic,Basic,Smart,,2142,Basic
Basic,Basic,Basic,Smart,,,724,Smart
Basic,Smart,,,,,550,Basic
Smart,Smart,Smart,Smart,Smart,Smart,894,Smart
Smart,Basic,Basic,Smart,Smart,,447,Smart
Smart,Basic,Smart,Basic,,,415,Smart
Basic,Basic,Basic,Basic,Basic,,32749,Basic
Basic,Smart,Basic,Smart,Smart,Basic,648,Smart
Basic,Smart,Basic,Smart,Smart,Smart,3283,Smart
Basic,Smart,Smart,,,,509,Smart
Basic,Smart,,,,,105,Basic
Basic,Smart,,,,,66,Basic
Basic,Basic,Basic,,,,95,Basic
Smart,Basic,Smart,,,,302,Smart
Basic,Basic,,,,,141,Basic
Basic,Basic,Basic,,,,61156,Basic
Basic,Basic,,,,,213,Basic
Smart,Smart,Basic,,,,204,Smart
Basic,Basic,Smart,,,,28338,Basic
Smart,Smart,Basic,Smart,Basic,Basic,819,Smart
Basic,Basic,Basic,Basic,Basic,Basic,360,Basic
Smart,Basic,Smart,Basic,Smart,Smart,2938,Smart
Smart,Basic,,,,,334,Smart
Basic,Smart,Basic,Basic,,,725,Smart
Basic,Smart,Basic,Smart,,,336,Smart
Basic,Smart,,,,,57,Basic
Smart,Basic,Basic,Smart,Smart,Smart,315,Basic
Basic,Smart,Smart,Basic,Smart,,419,Smart
Smart,Smart,Smart,Smart,Smart,,1522,Smart
Smart,Basic,Smart,Basic,Basic,Basic,889,Smart
Basic,Smart,Basic,Basic,,,291,Basic
Basic,Basic,Basic,Smart,Basic,,840,Basic
Basic,Basic,Basic,,,,124,Basic
Basic,Smart,,,,,102,Basic
Smart,Smart,,,,,229,Smart
Smart,Basic,Basic,Smart,Smart,,14796,Basic
Smart,Basic,Smart,Smart,Basic,Basic,2103,Basic
Smart,Smart,Smart,,,,1368,Smart
Basic,Basic,Smart,Basic,Smart,,660,Smart
Basic,Smart,Basic,,,,9816,Basic
Smart,Basic,Smart,Smart,Basic,,268,Smart
Basic,Basic,Basic,,,,115822,Basic
Smart,Smart,Smart,Basic,Smart,,871,Smart
Basic,Smart,Basic,Basic,Basic,Smart,358,Basic
Basic,Smart,Basic,,,,4464,Smart
Smart,Basic,Smart,Smart,Smart,,318,Smart
Basic,Smart,Basic,Basic,Smart,Basic,630,Smart
Smart,Smart,Smart,Smart,Basic,Smart,2683,Smart
Smart,Basic,Basic,Basic,Basic,Smart,2079,Basic
Smart,Smart,Basic,Smart,Basic,,303,Smart
Basic,Smart,Basic,Basic,,,1900,Smart
Basic,Basic,,,,,283,Basic
Smart,Basic,,,,,202,Basic
Smart,Smart,,,,,150,Smart
Basic,Basic,Smart,Basic,Smart,Smart,2769,Smart
Basic,Smart,Smart,Basic,Basic,Basic,623,Smart
Smart,Smart,Basic,Basic,,,574,Basic
Basic,Smart,Basic,Smart,Basic,,1537,Basic
Basic,Smart,Basic,Basic,Smart,Basic,1208,Smart
Basic,Smart,Basic,Basic,,,1114,Smart
Smart,Smart,,,,,603,Smart
